ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2020-01-01,11632,7526,13521,635,107,2957,1938,1660,2140,2888,329,119,234,230,882,512,1239,57,27,16,55,2628,1002,2118,858,113,51,490
2020-01-02,6908,4048,8242,274,64,1259,1117,1060,1973,2312,272,127,105,217,474,366,681,64,11,44,40,1437,725,1205,609,78,60,210
2020-01-03,5956,4509,8013,482,93,190,1687,1190,2518,2944,282,131,26,325,515,355,775,67,10,7,11,1626,583,1149,785,33,51,191
2020-01-04,7625,5376,10375,509,102,1036,979,1968,4019,5248,330,138,51,220,961,647,1432,79,20,16,61,2368,912,2235,525,71,136,313
2020-01-05,7068,4408,9232,227,105,1148,764,1536,3346,4204,261,99,54,264,806,462,1073,113,12,5,65,2158,669,1699,759,81,46,242
2020-01-06,3971,2166,4149,120,119,1149,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,182,178,0,0,0,4,748,998,1117,87,30,353,159,212,160,268,33,7,60,4,893,386,541,307,29,23,379
2020-01-08,6552,3090,5301,191,118,2362,1670,603,2199,2429,140,43,50,140,240,275,460,24,0,3,28,796,516,802,281,38,36,155
2020-01-09,4985,3337,5577,491,142,1116,996,1024,2884,3344,211,42,78,233,486,345,729,76,1,3,22,1146,539,991,431,50,15,198
2020-01-10,6546,3805,7598,121,68,1978,586,879,3015,3455,194,55,105,85,425,353,688,66,0,2,22,1105,524,971,222,31,13,392
2020-01-11,6562,4864,9343,102,30,1012,939,1797,4618,5766,209,69,116,255,877,585,1370,68,1,1,22,2042,893,2270,393,48,51,173
2020-01-12,8461,4311,10206,307,81,354,1824,1489,3553,4399,244,100,147,152,781,463,1165,59,1,7,12,2124,761,2076,399,83,25,302
2020-01-13,5264,2803,4942,361,62,993,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,50,50,0,0,0,0,2047,2939,3263,171,67,871,614,452,435,745,61,26,35,20,2160,945,1618,508,76,118,785
2020-01-15,5963,3819,7884,228,9,366,1295,655,2628,2909,114,26,102,132,322,333,562,37,4,28,24,1116,445,896,450,32,44,139
2020-01-16,4791,3978,7314,266,53,568,568,877,2794,3146,154,47,76,248,379,319,653,31,5,5,4,1058,520,1082,336,34,11,115
2020-01-17,5658,3736,7668,43,11,1332,340,1107,3150,3619,168,51,215,204,392,375,676,48,12,12,19,1099,501,1017,306,30,55,192
2020-01-18,8936,5012,9754,451,68,2207,1468,1773,3997,5017,314,81,173,185,922,582,1391,55,14,14,30,2076,849,2064,602,55,52,152
2020-01-19,7627,4367,9773,327,92,1101,701,1581,3929,4642,188,62,293,325,595,386,898,62,8,7,6,1790,661,1582,613,28,41,187
2020-01-20,5908,3682,7634,181,120,790,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,7,7,0,0,0,0,1536,3127,3571,132,57,531,372,461,409,732,96,10,21,11,1644,1367,1980,433,102,93,403
2020-01-22,4411,2577,4280,223,145,1655,685,821,2501,2785,196,33,114,194,323,386,601,66,10,13,19,666,354,599,278,18,22,103
2020-01-23,4384,2073,4183,220,90,976,988,888,2627,2963,135,18,188,211,310,311,591,16,1,3,10,624,362,629,266,13,27,51
2020-01-24,0,19951,11030,803,411,4225,3482,0,6484,5306,298,48,352,480,0,3534,3154,0,0,0,380,619,6083,5231,594,281,525,71
2020-01-25,0,54684,47713,1016,514,2646,2795,0,13583,11887,391,74,214,1017,0,9984,9310,0,0,0,674,809,15402,13645,1645,579,228,114
2020-01-26,0,44828,23732,3193,1894,5728,10281,0,13055,4242,475,76,703,7559,0,8037,7510,0,0,0,527,751,18372,17265,1215,145,391,107
2020-01-27,0,34023,15242,2725,437,6348,9271,0,4992,4138,196,21,228,409,0,2694,2450,0,0,0,244,572,4575,3915,509,236,457,30
