ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2012-01-01,9838,1666,5726,467,967,4293,51,1639,629,1641,228,176,178,45,805,395,1012,32,149,7,0,3086,688,1719,244,1411,389,11
2012-01-02,6650,898,2661,356,1231,3232,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-03,0,0,0,0,0,0,0,1367,486,1111,146,417,177,2,443,261,517,30,156,1,0,3057,483,1000,376,1626,523,15
2012-01-04,5612,833,2485,190,1320,2417,33,697,385,776,59,166,57,24,255,131,267,19,93,7,0,1679,333,502,144,1313,44,9
2012-01-05,3929,891,2230,179,894,1499,18,670,334,716,66,185,27,10,286,301,456,26,97,8,0,1549,440,755,157,1031,22,24
2012-01-06,4781,1193,2953,276,1005,1703,37,783,466,1019,62,124,37,7,563,294,784,9,61,2,1,1835,402,834,138,1114,146,5
2012-01-07,6715,1724,5105,238,866,2227,3,1825,1083,2534,150,168,41,15,532,441,868,17,84,4,0,2326,682,1715,238,904,95,56
2012-01-08,6066,1633,4656,215,1149,1642,37,1728,867,2128,149,138,151,29,676,398,908,31,108,19,8,2458,651,1633,231,1085,139,21
2012-01-09,4158,958,2351,161,752,1846,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-10,0,0,0,0,0,0,0,1188,510,1045,69,331,244,9,390,303,625,26,36,6,0,1983,529,956,305,1055,186,10
2012-01-11,4573,1384,2958,105,440,2451,3,723,509,967,46,90,118,11,222,193,374,12,27,2,0,1075,207,480,117,647,37,1
2012-01-12,3875,1028,2197,121,471,2105,9,596,392,809,50,23,70,36,259,286,511,14,11,9,0,1085,302,538,101,636,112,0
2012-01-13,4744,1379,3070,164,321,2526,42,916,467,1108,44,107,124,0,298,258,473,41,42,0,0,1251,311,792,111,620,31,8
2012-01-14,7703,2255,5980,359,597,2992,30,2112,1226,2810,177,156,193,2,625,472,1048,25,19,4,1,2370,751,1923,266,834,92,6
2012-01-15,8064,1819,5605,282,787,3197,12,1769,945,2336,145,108,117,8,682,417,1012,24,57,6,0,2680,641,1812,285,1132,77,15
2012-01-16,6387,967,2521,179,1352,3284,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-17,0,0,0,0,0,0,0,1523,911,1635,195,318,277,9,422,333,670,16,63,6,0,2451,460,1206,270,1194,238,3
2012-01-18,6070,981,2448,187,1065,3343,8,1061,614,1141,118,133,264,19,328,400,657,26,45,0,0,1294,472,919,119,633,84,11
2012-01-19,4761,1354,2874,50,511,2680,0,726,462,982,52,79,75,0,252,391,606,16,19,0,2,1001,427,825,101,459,40,3
2012-01-20,3741,620,2066,150,318,1823,4,815,334,832,103,83,127,4,289,241,466,20,28,10,6,910,239,477,118,490,58,6
2012-01-21,5825,955,3718,288,594,2175,5,1611,722,1729,185,204,188,27,475,286,707,7,25,22,0,1492,414,1196,159,459,83,9
2012-01-22,6453,1094,3846,274,440,2985,2,1416,524,1254,164,166,356,0,344,170,425,43,40,6,0,1301,295,811,280,379,104,22
2012-01-23,0,20512,20512,0,0,0,0,0,2768,1934,235,78,267,254,0,0,0,0,0,0,0,318,2867,2365,262,354,204,0
2012-01-24,7132,1757,5016,242,396,3212,23,2205,796,2224,190,154,423,10,675,356,958,35,9,22,7,1945,483,1519,285,270,352,2
2012-01-25,7737,717,2252,194,724,5258,26,1060,365,912,47,61,405,0,304,211,465,19,30,1,0,986,253,661,154,233,187,4
2012-01-26,7720,1157,2928,411,544,4985,9,875,500,959,67,55,294,0,283,351,536,19,69,10,0,1239,313,756,92,500,160,44
2012-01-27,6843,1026,3131,189,1001,3541,7,1314,833,1442,107,119,467,12,380,356,673,18,33,12,0,1437,552,1096,107,653,125,8
2012-01-28,12153,2411,6792,482,1279,5928,83,2162,1237,2795,115,129,344,16,731,509,1148,24,64,4,0,2599,778,2111,277,817,167,5
2012-01-29,10539,1816,5815,336,1047,5137,20,2007,976,2249,214,113,382,25,659,358,909,13,68,27,0,2929,771,2178,179,1096,236,11
2012-01-30,7644,1074,2609,219,1410,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-31,0,0,0,0,0,0,0,1497,448,953,120,404,454,14,249,214,383,11,52,15,2,2484,406,981,297,1370,232,10
2012-02-01,6742,881,2972,178,595,3877,1,668,274,816,18,24,65,19,307,155,402,18,36,6,0,1348,247,807,101,597,83,7
2012-02-02,5510,520,1710,203,639,3454,24,415,232,421,18,42,166,0,133,82,158,12,43,0,2,988,159,387,68,587,103,2
2012-02-03,4761,761,2190,346,443,2530,13,741,325,722,18,122,185,19,199,147,265,8,70,3,0,1069,206,416,67,668,116,8
2012-02-04,7736,1216,4543,222,610,3550,27,1779,810,2073,119,235,152,10,502,294,691,29,64,11,1,1986,381,1341,174,656,146,50
2012-02-05,7819,1331,4976,294,1078,2801,1,1897,896,2156,126,127,362,22,807,377,1069,25,84,3,3,2832,596,1882,291,1051,199,5
2012-02-06,5967,870,2968,233,1351,2279,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-07,0,0,0,0,0,0,0,1140,312,629,70,317,412,24,200,102,188,18,90,6,0,1866,253,650,165,1188,109,7
2012-02-08,5507,937,2351,155,1042,2896,0,666,301,592,50,106,199,20,183,111,203,17,70,4,0,956,160,332,128,588,59,9
2012-02-09,4850,368,2220,119,628,2251,0,709,328,810,49,62,116,0,252,185,313,37,79,4,4,1079,200,574,109,554,28,14
2012-02-10,5149,620,2384,222,688,2468,7,1053,559,1162,100,104,246,0,278,175,354,9,83,7,0,1143,211,506,173,644,28,3
2012-02-11,9593,2392,8213,301,916,2545,10,2224,1486,3067,96,109,370,68,640,346,913,27,38,4,4,2031,502,1339,175,920,55,44
2012-02-12,12990,4436,14255,226,570,2324,51,2468,1381,3367,155,97,230,0,978,450,1293,71,52,9,3,2985,680,2096,280,1176,75,38
2012-02-13,7032,1321,5437,136,789,1987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-14,0,0,0,0,0,0,0,1614,631,1779,99,195,149,23,733,388,1010,21,78,12,0,3065,672,1898,253,1413,160,13
2012-02-15,7169,1134,5618,138,528,2004,15,666,287,683,61,82,104,23,441,379,743,12,54,11,0,1913,361,1067,109,999,77,22
2012-02-16,6196,1335,5275,171,550,1533,2,793,286,753,97,62,167,0,336,298,548,10,70,6,0,1495,363,984,193,627,37,17
2012-02-17,5784,1251,4893,194,512,1427,9,617,243,516,102,122,119,1,303,181,365,20,87,12,0,1606,335,753,203,880,95,10
2012-02-18,9633,2247,8990,132,891,1865,2,1261,709,1343,121,145,280,81,494,319,685,27,95,6,0,2417,541,1645,419,778,86,30
2012-02-19,11817,3033,11573,131,681,2445,20,1318,659,1523,174,127,146,7,908,421,1167,26,79,38,19,3593,819,2405,309,1496,197,5
2012-02-20,8716,1780,7827,214,852,1600,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-21,0,0,0,0,0,0,0,1946,1022,2125,164,316,321,42,893,569,1316,25,111,5,5,3813,1033,2695,250,1579,244,78
2012-02-22,8446,2966,8889,318,728,1471,6,1311,625,1493,128,139,175,1,658,513,1070,20,63,18,0,2309,622,1632,269,944,64,22
2012-02-23,7114,2097,7066,341,527,1273,4,945,469,1181,46,114,59,14,565,409,886,11,75,2,0,2051,567,1484,157,888,65,24
2012-02-24,8209,3011,8938,110,549,1591,32,1173,654,1459,98,126,141,3,667,460,1036,20,71,0,0,2622,675,1689,175,1274,147,12
2012-02-25,13985,4612,15589,477,252,2227,52,1982,1296,2484,245,289,236,24,1049,673,1637,26,59,0,0,3684,1110,3154,347,1142,113,38
2012-02-26,12672,3928,13989,251,547,1783,30,1738,723,1801,158,202,280,20,1078,602,1577,38,51,0,14,4661,1078,3285,382,1732,319,21
2012-02-27,8140,2070,7936,142,425,1696,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-28,0,0,0,0,0,0,0,1978,827,2191,120,305,189,0,805,616,1225,24,161,10,1,3695,1123,2584,345,1663,210,16
2012-02-29,9163,3088,8882,356,633,2333,47,1257,770,1754,80,115,69,9,713,524,1153,11,68,5,0,2317,672,1721,146,1006,105,11
2012-03-01,19913,23894,38551,422,967,3828,39,3450,1905,5180,78,90,5,2,2885,1265,4002,49,99,0,0,5303,1629,5463,349,1074,33,13
2012-03-02,5105,390,3861,138,631,864,1,807,266,754,59,70,190,0,292,157,355,32,57,5,0,1444,229,701,96,824,36,16
2012-03-03,14966,12719,24519,317,872,1937,40,2581,1049,3349,79,107,95,0,1792,690,2339,60,78,2,3,4141,1198,4012,252,928,136,11
2012-03-04,10456,2370,9979,360,1196,1285,6,1572,663,1707,161,218,137,12,953,492,1332,44,63,6,0,3604,849,2573,248,1423,189,20
2012-03-05,4688,316,2064,251,1170,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-06,0,0,0,0,0,0,0,720,148,374,100,258,133,3,223,93,228,13,73,2,0,2653,259,543,187,1655,220,307
2012-03-07,5799,392,3357,212,1219,1394,9,836,249,738,69,93,167,18,443,285,574,20,92,42,0,1740,296,909,124,930,68,5
2012-03-08,4880,582,3667,239,644,824,88,528,236,555,29,91,88,1,325,265,489,22,69,10,0,1841,318,709,215,1149,85,1
2012-03-09,6162,488,3559,380,1134,1569,8,735,285,728,65,116,84,27,456,274,644,14,64,3,5,2072,272,710,185,1253,185,11
2012-03-10,13800,3150,13363,302,1253,2014,18,1996,1085,2664,146,148,114,9,1366,660,1879,41,88,16,2,3958,1180,3330,295,1299,175,39
2012-03-11,9493,1506,7212,458,1207,2071,51,924,452,961,145,139,103,28,608,289,748,17,110,22,0,3263,638,2014,164,1642,66,15
2012-03-12,5683,394,2872,291,1370,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,0,0,0,0,0,0,0,1471,329,1015,104,478,202,1,455,309,618,32,99,15,0,3455,446,918,476,2312,187,8
2012-03-14,6122,790,4635,285,784,1202,6,597,163,410,54,114,147,35,324,195,406,18,82,13,0,2388,303,705,228,1581,142,35
2012-03-15,6655,934,4398,251,717,2132,91,893,309,862,87,147,106,0,596,428,877,28,111,8,0,2071,430,991,216,1150,131,13
2012-03-16,6311,607,3184,220,1028,2485,1,797,286,653,68,162,149,51,298,240,425,13,93,7,0,1834,275,488,215,1349,50,7
