ÀÏÀÚ,µ¿±¸¸ª(À¯·á),µ¿±¸¸ª(¹«·á),µ¿±¸¸ª(³»±¹ÀÎ),µ¿±¸¸ª(¿µ¾î±Ç),µ¿±¸¸ª(ÀÏº»¾î±Ç),µ¿±¸¸ª(Áß±¹¾î±Ç),µ¿±¸¸ª(±âÅ¸¿Ü±¹ÀÎ),±¤¸ª(À¯·á),±¤¸ª(¹«·á),±¤¸ª(³»±¹ÀÎ),±¤¸ª(¿µ¾î±Ç),±¤¸ª(ÀÏº»¾î±Ç),±¤¸ª(Áß±¹¾î±Ç),±¤¸ª(±âÅ¸¿Ü±¹ÀÎ),È«À¯¸ª(À¯·á),È«À¯¸ª(¹«·á),È«À¯¸ª(³»±¹ÀÎ),È«À¯¸ª(¿µ¾î±Ç),È«À¯¸ª(ÀÏº»¾î±Ç),È«À¯¸ª(Áß±¹¾î±Ç),È«À¯¸ª(±âÅ¸¿Ü±¹ÀÎ),»ç¸ª(À¯·á),»ç¸ª(¹«·á),»ç¸ª(³»±¹ÀÎ),»ç¸ª(¿µ¾î±Ç),»ç¸ª(ÀÏº»¾î±Ç),»ç¸ª(Áß±¹¾î±Ç),»ç¸ª(±âÅ¸¿Ü±¹ÀÎ),ÅÂ¸ª(À¯·á),ÅÂ¸ª(¹«·á),ÅÂ¸ª(³»±¹ÀÎ),ÅÂ¸ª(¿µ¾î±Ç),ÅÂ¸ª(ÀÏº»¾î±Ç),ÅÂ¸ª(Áß±¹¾î±Ç),ÅÂ¸ª(±âÅ¸¿Ü±¹ÀÎ),Á¤¸ª(À¯·á),Á¤¸ª(¹«·á),Á¤¸ª(³»±¹ÀÎ),Á¤¸ª(¿µ¾î±Ç),Á¤¸ª(ÀÏº»¾î±Ç),Á¤¸ª(Áß±¹¾î±Ç),Á¤¸ª(±âÅ¸¿Ü±¹ÀÎ),Çå¸ª(À¯·á),Çå¸ª(¹«·á),Çå¸ª(³»±¹ÀÎ),Çå¸ª(¿µ¾î±Ç),Çå¸ª(ÀÏº»¾î±Ç),Çå¸ª(Áß±¹¾î±Ç),Çå¸ª(±âÅ¸¿Ü±¹ÀÎ),¼±¸ª(À¯·á),¼±¸ª(¹«·á),¼±¸ª(³»±¹ÀÎ),¼±¸ª(¿µ¾î±Ç),¼±¸ª(ÀÏº»¾î±Ç),¼±¸ª(Áß±¹¾î±Ç),¼±¸ª(±âÅ¸¿Ü±¹ÀÎ),ÀÇ¸ª(À¯·á),ÀÇ¸ª(¹«·á),ÀÇ¸ª(³»±¹ÀÎ),ÀÇ¸ª(¿µ¾î±Ç),ÀÇ¸ª(ÀÏº»¾î±Ç),ÀÇ¸ª(Áß±¹¾î±Ç),ÀÇ¸ª(±âÅ¸¿Ü±¹ÀÎ),¿µÈÖ¿ø(À¯·á),¿µÈÖ¿ø(¹«·á),¿µÈÖ¿ø(³»±¹ÀÎ),¿µÈÖ¿ø(¿µ¾î±Ç),¿µÈÖ¿ø(ÀÏº»¾î±Ç),¿µÈÖ¿ø(Áß±¹¾î±Ç),¿µÈÖ¿ø(±âÅ¸¿Ü±¹ÀÎ),¼­¿À¸ª(À¯·á),¼­¿À¸ª(¹«·á),¼­¿À¸ª(³»±¹ÀÎ),¼­¿À¸ª(¿µ¾î±Ç),¼­¿À¸ª(ÀÏº»¾î±Ç),¼­¿À¸ª(Áß±¹¾î±Ç),¼­¿À¸ª(±âÅ¸¿Ü±¹ÀÎ),¼­»ï¸ª(À¯·á),¼­»ï¸ª(¹«·á),¼­»ï¸ª(³»±¹ÀÎ),¼­»ï¸ª(¿µ¾î±Ç),¼­»ï¸ª(ÀÏº»¾î±Ç),¼­»ï¸ª(Áß±¹¾î±Ç),¼­»ï¸ª(±âÅ¸¿Ü±¹ÀÎ),À¶¸ª(À¯·á),À¶¸ª(¹«·á),À¶¸ª(³»±¹ÀÎ),À¶¸ª(¿µ¾î±Ç),À¶¸ª(ÀÏº»¾î±Ç),À¶¸ª(Áß±¹¾î±Ç),À¶¸ª(±âÅ¸¿Ü±¹ÀÎ),ÆÄÁÖ»ï¸ª(À¯·á),ÆÄÁÖ»ï¸ª(¹«·á),ÆÄÁÖ»ï¸ª(³»±¹ÀÎ),ÆÄÁÖ»ï¸ª(¿µ¾î±Ç),ÆÄÁÖ»ï¸ª(ÀÏº»¾î±Ç),ÆÄÁÖ»ï¸ª(Áß±¹¾î±Ç),ÆÄÁÖ»ï¸ª(±âÅ¸¿Ü±¹ÀÎ),ÆÄÁÖÀå¸ª(À¯·á),ÆÄÁÖÀå¸ª(¹«·á),ÆÄÁÖÀå¸ª(³»±¹ÀÎ),ÆÄÁÖÀå¸ª(¿µ¾î±Ç),ÆÄÁÖÀå¸ª(ÀÏº»¾î±Ç),ÆÄÁÖÀå¸ª(Áß±¹¾î±Ç),ÆÄÁÖÀå¸ª(±âÅ¸¿Ü±¹ÀÎ),±èÆ÷Àå¸ª(À¯·á),±èÆ÷Àå¸ª(¹«·á),±èÆ÷Àå¸ª(³»±¹ÀÎ),±èÆ÷Àå¸ª(¿µ¾î±Ç),±èÆ÷Àå¸ª(ÀÏº»¾î±Ç),±èÆ÷Àå¸ª(Áß±¹¾î±Ç),±èÆ÷Àå¸ª(±âÅ¸¿Ü±¹ÀÎ),¾çÁÖ¿Â¸ª(À¯·á),¾çÁÖ¿Â¸ª(¹«·á),¾çÁÖ¿Â¸ª(³»±¹ÀÎ),¾çÁÖ¿Â¸ª(¿µ¾î±Ç),¾çÁÖ¿Â¸ª(ÀÏº»¾î±Ç),¾çÁÖ¿Â¸ª(Áß±¹¾î±Ç),¾çÁÖ¿Â¸ª(±âÅ¸¿Ü±¹ÀÎ),¼¼Á¾´ë¿ÕÀ¯Àû(À¯·á),¼¼Á¾´ë¿ÕÀ¯Àû(¹«·á),¼¼Á¾´ë¿ÕÀ¯Àû(³»±¹ÀÎ),¼¼Á¾´ë¿ÕÀ¯Àû(¿µ¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(ÀÏº»¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(Áß±¹¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(±âÅ¸¿Ü±¹ÀÎ)
2020-01-01,186,100,286,0,0,0,0,138,97,235,0,0,0,0,133,179,312,0,0,0,0,6,11,17,0,0,0,0,48,32,80,0,0,0,0,139,397,536,0,0,0,0,36,67,103,0,0,0,0,290,259,503,36,4,3,3,37,211,247,1,0,0,0,11,20,31,0,0,0,0,625,469,1094,0,0,0,0,56,57,113,0,0,0,0,542,231,770,0,0,0,3,29,18,47,0,0,0,0,21,13,34,0,0,0,0,202,144,346,0,0,0,0,0,55,55,0,0,0,0,0,2467,2467,0,0,0,0
2020-01-02,61,46,104,1,2,0,0,18,27,45,0,0,0,0,9,36,43,0,0,1,1,2,4,6,0,0,0,0,1,19,20,0,0,0,0,31,298,329,0,0,0,0,16,53,69,0,0,0,0,233,244,443,29,1,4,0,27,215,242,0,0,0,0,6,22,28,0,0,0,0,127,288,415,0,0,0,0,3,30,33,0,0,0,0,57,47,104,0,0,0,0,11,6,17,0,0,0,0,3,8,11,0,0,0,0,44,76,120,0,0,0,0,0,14,14,0,0,0,0,0,735,735,0,0,0,0
2020-01-03,64,36,100,0,0,0,0,15,35,50,0,0,0,0,10,20,30,0,0,0,0,0,2,2,0,0,0,0,14,60,68,6,0,0,0,40,271,310,1,0,0,0,8,43,51,0,0,0,0,202,238,398,28,0,12,2,19,181,196,4,0,0,0,1,16,17,0,0,0,0,143,269,412,0,0,0,0,17,35,52,0,0,0,0,85,68,153,0,0,0,0,14,3,17,0,0,0,0,2,13,15,0,0,0,0,60,100,160,0,0,0,0,0,13,13,0,0,0,0,0,518,518,0,0,0,0
2020-01-04,151,105,256,0,0,0,0,69,88,157,0,0,0,0,54,69,123,0,0,0,0,39,30,69,0,0,0,0,24,132,154,2,0,0,0,87,434,519,2,0,0,0,42,106,148,0,0,0,0,346,379,695,15,3,10,2,24,224,248,0,0,0,0,15,33,48,0,0,0,0,520,486,1006,0,0,0,0,45,40,85,0,0,0,0,500,259,759,0,0,0,0,31,10,41,0,0,0,0,26,19,45,0,0,0,0,193,210,403,0,0,0,0,0,46,46,0,0,0,0,0,2531,2531,0,0,0,0
2020-01-05,241,121,362,0,0,0,0,190,154,344,0,0,0,0,51,73,124,0,0,0,0,25,18,43,0,0,0,0,31,159,188,2,0,0,0,146,452,597,1,0,0,0,41,27,68,0,0,0,0,334,328,628,29,2,0,3,51,236,287,0,0,0,0,36,47,83,0,0,0,0,660,590,1250,0,0,0,0,63,72,135,0,0,0,0,719,383,1098,2,0,0,2,42,33,75,0,0,0,0,14,26,40,0,0,0,0,198,175,373,0,0,0,0,0,78,78,0,0,0,0,0,2153,2153,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,6,19,25,0,0,0,0,0,21,21,0,0,0,0,61,17,28,0,0,0,50,0,2,2,0,0,0,0,3,43,46,0,0,0,0,7,177,184,0,0,0,0,0,47,47,0,0,0,0,33,51,74,10,0,0,0,2,51,53,0,0,0,0,2,11,13,0,0,0,0,19,54,73,0,0,0,0,1,22,23,0,0,0,0,23,7,30,0,0,0,0,1,7,8,0,0,0,0,2,1,3,0,0,0,0,1,14,15,0,0,0,0,0,3,3,0,0,0,0,0,466,454,0,0,0,12
2020-01-08,29,27,56,0,0,0,0,11,40,51,0,0,0,0,33,33,66,0,0,0,0,4,5,9,0,0,0,0,4,77,81,0,0,0,0,27,280,307,0,0,0,0,4,33,37,0,0,0,0,138,197,310,22,0,3,0,11,121,132,0,0,0,0,1,11,12,0,0,0,0,79,158,237,0,0,0,0,9,44,53,0,0,0,0,53,22,71,2,2,0,0,3,4,7,0,0,0,0,2,1,3,0,0,0,0,41,62,103,0,0,0,0,0,30,30,0,0,0,0,0,546,546,0,0,0,0
2020-01-09,22,45,65,2,0,0,0,14,37,51,0,0,0,0,4,22,24,0,0,0,2,3,4,7,0,0,0,0,7,78,85,0,0,0,0,51,273,321,3,0,0,0,12,45,57,0,0,0,0,186,246,418,14,0,0,0,11,184,195,0,0,0,0,4,21,21,2,0,2,0,123,296,419,0,0,0,0,13,45,58,0,0,0,0,130,83,213,0,0,0,0,13,12,25,0,0,0,0,7,2,9,0,0,0,0,50,95,145,0,0,0,0,0,7,7,0,0,0,0,0,722,722,0,0,0,0
2020-01-10,35,35,70,0,0,0,0,11,35,46,0,0,0,0,20,35,54,0,0,1,0,6,7,13,0,0,0,0,21,106,125,2,0,0,0,37,273,309,1,0,0,0,8,36,44,0,0,0,0,165,227,371,11,4,0,6,5,179,184,0,0,0,0,3,16,19,0,0,0,0,132,295,427,0,0,0,0,8,31,39,0,0,0,0,102,53,150,3,2,0,0,5,8,13,0,0,0,0,5,3,8,0,0,0,0,62,84,146,0,0,0,0,0,17,17,0,0,0,0,0,521,521,0,0,0,0
2020-01-11,106,73,179,0,0,0,0,102,64,166,0,0,0,0,32,59,81,10,0,0,0,15,16,29,2,0,0,0,60,177,237,0,0,0,0,76,335,411,0,0,0,0,56,73,129,0,0,0,0,295,317,584,24,3,0,1,28,200,228,0,0,0,0,12,33,43,2,0,0,0,401,451,852,0,0,0,0,44,81,125,0,0,0,0,456,214,670,0,0,0,0,29,56,85,0,0,0,0,14,20,34,0,0,0,0,115,146,261,0,0,0,0,0,30,30,0,0,0,0,0,2218,2203,0,0,0,15
