ÀÏÀÚ,µ¿±¸¸ª(À¯·á),µ¿±¸¸ª(¹«·á),µ¿±¸¸ª(³»±¹ÀÎ),µ¿±¸¸ª(¿µ¾î±Ç),µ¿±¸¸ª(ÀÏº»¾î±Ç),µ¿±¸¸ª(Áß±¹¾î±Ç),µ¿±¸¸ª(±âÅ¸¿Ü±¹ÀÎ),±¤¸ª(À¯·á),±¤¸ª(¹«·á),±¤¸ª(³»±¹ÀÎ),±¤¸ª(¿µ¾î±Ç),±¤¸ª(ÀÏº»¾î±Ç),±¤¸ª(Áß±¹¾î±Ç),±¤¸ª(±âÅ¸¿Ü±¹ÀÎ),È«À¯¸ª(À¯·á),È«À¯¸ª(¹«·á),È«À¯¸ª(³»±¹ÀÎ),È«À¯¸ª(¿µ¾î±Ç),È«À¯¸ª(ÀÏº»¾î±Ç),È«À¯¸ª(Áß±¹¾î±Ç),È«À¯¸ª(±âÅ¸¿Ü±¹ÀÎ),»ç¸ª(À¯·á),»ç¸ª(¹«·á),»ç¸ª(³»±¹ÀÎ),»ç¸ª(¿µ¾î±Ç),»ç¸ª(ÀÏº»¾î±Ç),»ç¸ª(Áß±¹¾î±Ç),»ç¸ª(±âÅ¸¿Ü±¹ÀÎ),ÅÂ¸ª(À¯·á),ÅÂ¸ª(¹«·á),ÅÂ¸ª(³»±¹ÀÎ),ÅÂ¸ª(¿µ¾î±Ç),ÅÂ¸ª(ÀÏº»¾î±Ç),ÅÂ¸ª(Áß±¹¾î±Ç),ÅÂ¸ª(±âÅ¸¿Ü±¹ÀÎ),Á¤¸ª(À¯·á),Á¤¸ª(¹«·á),Á¤¸ª(³»±¹ÀÎ),Á¤¸ª(¿µ¾î±Ç),Á¤¸ª(ÀÏº»¾î±Ç),Á¤¸ª(Áß±¹¾î±Ç),Á¤¸ª(±âÅ¸¿Ü±¹ÀÎ),Çå¸ª(À¯·á),Çå¸ª(¹«·á),Çå¸ª(³»±¹ÀÎ),Çå¸ª(¿µ¾î±Ç),Çå¸ª(ÀÏº»¾î±Ç),Çå¸ª(Áß±¹¾î±Ç),Çå¸ª(±âÅ¸¿Ü±¹ÀÎ),¼±¸ª(À¯·á),¼±¸ª(¹«·á),¼±¸ª(³»±¹ÀÎ),¼±¸ª(¿µ¾î±Ç),¼±¸ª(ÀÏº»¾î±Ç),¼±¸ª(Áß±¹¾î±Ç),¼±¸ª(±âÅ¸¿Ü±¹ÀÎ),ÀÇ¸ª(À¯·á),ÀÇ¸ª(¹«·á),ÀÇ¸ª(³»±¹ÀÎ),ÀÇ¸ª(¿µ¾î±Ç),ÀÇ¸ª(ÀÏº»¾î±Ç),ÀÇ¸ª(Áß±¹¾î±Ç),ÀÇ¸ª(±âÅ¸¿Ü±¹ÀÎ),¿µÈÖ¿ø(À¯·á),¿µÈÖ¿ø(¹«·á),¿µÈÖ¿ø(³»±¹ÀÎ),¿µÈÖ¿ø(¿µ¾î±Ç),¿µÈÖ¿ø(ÀÏº»¾î±Ç),¿µÈÖ¿ø(Áß±¹¾î±Ç),¿µÈÖ¿ø(±âÅ¸¿Ü±¹ÀÎ),¼­¿À¸ª(À¯·á),¼­¿À¸ª(¹«·á),¼­¿À¸ª(³»±¹ÀÎ),¼­¿À¸ª(¿µ¾î±Ç),¼­¿À¸ª(ÀÏº»¾î±Ç),¼­¿À¸ª(Áß±¹¾î±Ç),¼­¿À¸ª(±âÅ¸¿Ü±¹ÀÎ),¼­»ï¸ª(À¯·á),¼­»ï¸ª(¹«·á),¼­»ï¸ª(³»±¹ÀÎ),¼­»ï¸ª(¿µ¾î±Ç),¼­»ï¸ª(ÀÏº»¾î±Ç),¼­»ï¸ª(Áß±¹¾î±Ç),¼­»ï¸ª(±âÅ¸¿Ü±¹ÀÎ),À¶¸ª(À¯·á),À¶¸ª(¹«·á),À¶¸ª(³»±¹ÀÎ),À¶¸ª(¿µ¾î±Ç),À¶¸ª(ÀÏº»¾î±Ç),À¶¸ª(Áß±¹¾î±Ç),À¶¸ª(±âÅ¸¿Ü±¹ÀÎ),ÆÄÁÖ»ï¸ª(À¯·á),ÆÄÁÖ»ï¸ª(¹«·á),ÆÄÁÖ»ï¸ª(³»±¹ÀÎ),ÆÄÁÖ»ï¸ª(¿µ¾î±Ç),ÆÄÁÖ»ï¸ª(ÀÏº»¾î±Ç),ÆÄÁÖ»ï¸ª(Áß±¹¾î±Ç),ÆÄÁÖ»ï¸ª(±âÅ¸¿Ü±¹ÀÎ),ÆÄÁÖÀå¸ª(À¯·á),ÆÄÁÖÀå¸ª(¹«·á),ÆÄÁÖÀå¸ª(³»±¹ÀÎ),ÆÄÁÖÀå¸ª(¿µ¾î±Ç),ÆÄÁÖÀå¸ª(ÀÏº»¾î±Ç),ÆÄÁÖÀå¸ª(Áß±¹¾î±Ç),ÆÄÁÖÀå¸ª(±âÅ¸¿Ü±¹ÀÎ),±èÆ÷Àå¸ª(À¯·á),±èÆ÷Àå¸ª(¹«·á),±èÆ÷Àå¸ª(³»±¹ÀÎ),±èÆ÷Àå¸ª(¿µ¾î±Ç),±èÆ÷Àå¸ª(ÀÏº»¾î±Ç),±èÆ÷Àå¸ª(Áß±¹¾î±Ç),±èÆ÷Àå¸ª(±âÅ¸¿Ü±¹ÀÎ),¾çÁÖ¿Â¸ª(À¯·á),¾çÁÖ¿Â¸ª(¹«·á),¾çÁÖ¿Â¸ª(³»±¹ÀÎ),¾çÁÖ¿Â¸ª(¿µ¾î±Ç),¾çÁÖ¿Â¸ª(ÀÏº»¾î±Ç),¾çÁÖ¿Â¸ª(Áß±¹¾î±Ç),¾çÁÖ¿Â¸ª(±âÅ¸¿Ü±¹ÀÎ),¼¼Á¾´ë¿ÕÀ¯Àû(À¯·á),¼¼Á¾´ë¿ÕÀ¯Àû(¹«·á),¼¼Á¾´ë¿ÕÀ¯Àû(³»±¹ÀÎ),¼¼Á¾´ë¿ÕÀ¯Àû(¿µ¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(ÀÏº»¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(Áß±¹¾î±Ç),¼¼Á¾´ë¿ÕÀ¯Àû(±âÅ¸¿Ü±¹ÀÎ)
2019-01-01,190,82,272,0,0,0,0,107,60,167,0,0,0,0,162,242,404,0,0,0,0,26,12,38,0,0,0,0,62,68,130,0,0,0,0,121,292,412,0,0,1,0,47,19,64,0,2,0,0,283,249,478,28,4,18,4,39,124,162,1,0,0,0,18,19,37,0,0,0,0,492,422,905,9,0,0,0,88,100,188,0,0,0,0,367,157,524,0,0,0,0,22,28,50,0,0,0,0,37,22,59,0,0,0,0,177,132,309,0,0,0,0,0,0,0,0,0,0,0,0,2863,2863,0,0,0,0
2019-01-02,23,49,72,0,0,0,0,8,12,20,0,0,0,0,7,38,45,0,0,0,0,2,7,9,0,0,0,0,3,17,20,0,0,0,0,40,177,216,1,0,0,0,6,6,12,0,0,0,0,124,173,268,16,11,1,1,16,98,114,0,0,0,0,13,9,19,0,0,3,0,93,209,302,0,0,0,0,9,27,36,0,0,0,0,65,49,109,5,0,0,0,2,14,16,0,0,0,0,8,3,11,0,0,0,0,26,61,87,0,0,0,0,0,0,0,0,0,0,0,0,333,330,0,0,0,3
2019-01-03,26,28,54,0,0,0,0,11,14,25,0,0,0,0,5,31,36,0,0,0,0,3,2,5,0,0,0,0,12,25,33,4,0,0,0,28,197,225,0,0,0,0,21,24,45,0,0,0,0,160,222,362,16,1,3,0,10,109,119,0,0,0,0,6,15,21,0,0,0,0,128,250,376,2,0,0,0,18,23,41,0,0,0,0,99,48,129,0,18,0,0,4,7,11,0,0,0,0,3,7,10,0,0,0,0,44,99,143,0,0,0,0,0,0,0,0,0,0,0,0,298,298,0,0,0,0
2019-01-04,26,37,63,0,0,0,0,7,18,25,0,0,0,0,2,21,23,0,0,0,0,2,6,8,0,0,0,0,9,16,25,0,0,0,0,31,232,262,1,0,0,0,6,26,32,0,0,0,0,182,206,339,23,6,1,19,12,131,143,0,0,0,0,8,9,17,0,0,0,0,95,202,297,0,0,0,0,11,48,59,0,0,0,0,45,40,79,0,6,0,0,13,96,109,0,0,0,0,4,3,7,0,0,0,0,30,92,122,0,0,0,0,0,0,0,0,0,0,0,0,371,371,0,0,0,0
2019-01-05,103,89,190,2,0,0,0,59,24,83,0,0,0,0,43,51,94,0,0,0,0,10,11,21,0,0,0,0,34,79,113,0,0,0,0,69,256,325,0,0,0,0,29,20,49,0,0,0,0,220,318,525,12,0,1,0,29,117,146,0,0,0,0,10,22,32,0,0,0,0,345,364,709,0,0,0,0,47,113,160,0,0,0,0,241,140,381,0,0,0,0,47,27,74,0,0,0,0,21,14,35,0,0,0,0,94,137,231,0,0,0,0,0,0,0,0,0,0,0,0,1841,1841,0,0,0,0
2019-01-06,231,105,336,0,0,0,0,86,63,149,0,0,0,0,54,65,119,0,0,0,0,23,25,48,0,0,0,0,46,107,153,0,0,0,0,133,284,417,0,0,0,0,41,45,86,0,0,0,0,264,366,600,24,0,1,5,29,155,184,0,0,0,0,28,30,58,0,0,0,0,549,572,1118,0,2,0,1,42,31,73,0,0,0,0,494,281,775,0,0,0,0,33,22,55,0,0,0,0,23,21,44,0,0,0,0,164,159,323,0,0,0,0,0,0,0,0,0,0,0,0,2039,2033,0,0,0,6
2019-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,43,39,82,0,0,0,0,14,9,23,0,0,0,0,4,19,23,0,0,0,0,9,3,12,0,0,0,0,8,31,37,2,0,0,0,30,245,275,0,0,0,0,14,23,37,0,0,0,0,149,228,359,16,2,0,0,13,129,142,0,0,0,0,12,42,54,0,0,0,0,97,243,337,0,3,0,0,14,36,50,0,0,0,0,73,124,197,0,0,0,0,9,8,17,0,0,0,0,2,1,3,0,0,0,0,29,86,115,0,0,0,0,0,0,0,0,0,0,0,0,408,408,0,0,0,0
2019-01-09,18,23,41,0,0,0,0,12,30,42,0,0,0,0,4,38,42,0,0,0,0,6,9,15,0,0,0,0,8,23,31,0,0,0,0,21,201,220,2,0,0,0,9,19,28,0,0,0,0,91,179,259,7,1,3,0,14,126,140,0,0,0,0,3,13,16,0,0,0,0,91,209,299,1,0,0,0,13,22,35,0,0,0,0,61,118,175,0,4,0,0,4,16,20,0,0,0,0,5,6,11,0,0,0,0,35,116,151,0,0,0,0,0,0,0,0,0,0,0,0,295,295,0,0,0,0
2019-01-10,33,30,63,0,0,0,0,9,9,18,0,0,0,0,22,36,57,0,0,0,1,9,10,19,0,0,0,0,12,34,46,0,0,0,0,38,237,275,0,0,0,0,27,39,66,0,0,0,0,137,248,368,15,1,1,0,25,139,164,0,0,0,0,2,26,28,0,0,0,0,86,245,331,0,0,0,0,15,68,83,0,0,0,0,65,74,139,0,0,0,0,10,19,29,0,0,0,0,11,16,27,0,0,0,0,44,65,109,0,0,0,0,0,0,0,0,0,0,0,0,372,372,0,0,0,0
2019-01-11,50,44,94,0,0,0,0,20,20,40,0,0,0,0,6,17,23,0,0,0,0,4,5,9,0,0,0,0,14,41,55,0,0,0,0,40,261,301,0,0,0,0,18,16,34,0,0,0,0,215,313,495,23,10,0,0,18,115,133,0,0,0,0,16,38,53,1,0,0,0,145,291,436,0,0,0,0,7,45,52,0,0,0,0,73,54,123,0,4,0,0,23,45,68,0,0,0,0,3,9,12,0,0,0,0,47,74,121,0,0,0,0,0,0,0,0,0,0,0,0,516,516,0,0,0,0
2019-01-12,98,71,169,0,0,0,0,50,31,81,0,0,0,0,19,57,76,0,0,0,0,12,1,13,0,0,0,0,19,46,65,0,0,0,0,67,300,367,0,0,0,0,23,11,34,0,0,0,0,212,279,469,15,4,2,1,28,135,161,2,0,0,0,8,12,19,0,1,0,0,334,479,813,0,0,0,0,43,23,66,0,0,0,0,313,130,443,0,0,0,0,31,66,97,0,0,0,0,20,13,33,0,0,0,0,102,111,213,0,0,0,0,0,0,0,0,0,0,0,0,933,933,0,0,0,0
