2018년,경복궁(주·야간 착용자),창덕궁(주·야간 착용자),덕수궁(주·야간 착용자),창경궁(주·야간 착용자),종묘(주간 착용자)
1월," 22,772 "," 3,766 ", 157 , 476 , 29 
2월," 36,586 "," 6,356 ", 319 , 973 , 9 
3월," 65,526 "," 13,182 ", 269 ," 1,764 ", 62 
4월," 83,659 "," 16,080 ", 438 ," 3,780 ", 64 
5월," 82,211 "," 14,733 ", 418 ," 3,047 ", 102 
6월," 56,656 "," 9,376 ", 299 ," 1,689 ", 25 
7월," 41,939 "," 7,001 ", 246 , 913 , 12 
8월," 35,255 "," 7,067 ", 206 , 916 , 65 
9월," 81,442 "," 18,722 "," 1,584 "," 6,197 ", 39 
10월," 83,468 "," 17,749 ", 728 ," 3,302 ", 58 
11월," 59,554 "," 12,955 ", 391 ," 2,126 ", 38 
12월," 34,941 "," 5,493 ", 145 , 608 , 31 
